All event log messages.
Date:	2016-10-17 12:18:54
System Name:	MCube6.03
Controller Name:	192.168.1.2
Controller Id	120-502362

RobotWare: 6.03.00.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	623-1 Multitasking
	604-1 MultiMove Coordinated
	623-1 Multitasking
	608-1 World Zones
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	689-1 Externally Guided Motion (EGM)
	English
	Auto acknowledge input

Robot1
Key:	
Options:	
	IRB 120T-0.58/3
	Axis Calibration
	Drive System IRB 120/140/260/360/910SC/1200/1400/1520/1600

Robot2
Key:	
Options:	
	IRB 120T-0.58/3
	Axis Calibration
	Drive System IRB 120/140/260/360/910SC/1200/1400/1520/1600



Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
2796430   	I   	Operational         	10156   	Program restarted                       	2016-10-14 07:54:28 	Execution of task LOGGER1 has been restarted from where it was previously stopped. The originator is an external client.	{args: "3", "LOGGER1"}
2796431   	I   	Operational         	10156   	Program restarted                       	2016-10-14 07:54:28 	Execution of task T_ROB2 has been restarted from where it was previously stopped. The originator is an external client.	{args: "4", "T_ROB2"}
2796432   	W   	Program             	41822   	No data from the UdpUc device           	2016-10-14 07:54:28 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796433   	E   	Program             	41822   	No data from the UdpUc device           	2016-10-14 07:54:28 	Task: T_ROB2.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB2", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMsensor"}
2796434   	E   	Program             	40228   	Execution error                         	2016-10-14 07:54:28 	The execution of task T_ROB2 has been stopped by a runtime error 41822.	{args: "T_ROB2", "41822"}
2796435   	I   	Operational         	10020   	Execution error state                   	2016-10-14 07:54:28 	The program execution in task T_ROB2 has been stopped due to a spontaneous error.	{args: "4", "T_ROB2"}
2796436   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:54:28 	The task LOGGER2 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER2"}
2796437   	I   	Operational         	10126   	Program stopped                         	2016-10-14 07:54:28 	The task T_ROB2 has stopped. The reason is that an error has occurred. 	{args: "4", "T_ROB2"}
2796438   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:54:28 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
2796439   	I   	Operational         	10125   	Program stopped                         	2016-10-14 07:54:38 	The task LOGGER1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "LOGGER1"}
2796440   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:54:39 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
2796441   	I   	Operational         	10002   	Program pointer has been reset          	2016-10-14 07:54:39 	The program pointer of task LOGGER2 has been reset.	{args: "2", "0", "LOGGER2"}
