All event log messages.
Date:	2011-02-18 21:28:31
System Name:	Sys510FC_CMU
Controller Name:	192.168.1.99
Controller Id	14M-51726

RobotWare:	5.10.0146
Key:	uCnQJIon7ssNpppwnCp1ooodoolpC
Options:	
	RW Control module key
	RobotWare OS and English
	709-x DeviceNet
		709-1 Master/Slave Single
		608-1 World Zones
		609-1 Fixed Position Events
		613-1 Collision Detection
		616-1 PC Interface
		617-1 FlexPendant Interface
		620-1 File and Serial Channel Handling
		672-1 Socket Messaging
		621-1 Logical Cross Connections
		622-1 Analog Signal Interrupt
		623-1 Multitasking
		626-1 Advanced RAPID
		661-2 Assembly FC
		Robot Reference Inteface

DriveModule1
Key:	Fy6929qjV5M
Options:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 140 Type C
			140 Type C
			Add axes IRB/drive module 140/1400
				R2C4 Add drive 3 x U or prepared
					No drive in pos Z4



Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
60073     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 20:40:23 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60074     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 20:40:24 	The system is in the Motors ON state.	{args: }
60075     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:40:28 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60076     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:40:28 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60077     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:40:28 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60078     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:40:34 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60079     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:40:34 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60080     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:40:34 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60081     	I   	Operational         	10052   	Regain start                            	2011-02-18 20:40:37 	A regain movement has started.	{args: "0"}
60082     	I   	Operational         	10053   	Regain ready                            	2011-02-18 20:40:37 	The regain movement is ready.	{args: "0"}
60083     	I   	Operational         	10151   	Program started                         	2011-02-18 20:40:37 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
60084     	I   	Operational         	10151   	Program started                         	2011-02-18 20:40:37 	Execution of task LOGGER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "LOGGER"}
60085     	I   	Operational         	10151   	Program started                         	2011-02-18 20:40:37 	Execution of task SERVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "SERVER"}
60086     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 20:41:06 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60087     	I   	Operational         	10125   	Program stopped                         	2011-02-18 20:41:06 	The task LOGGER has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "LOGGER"}
60088     	I   	Operational         	10125   	Program stopped                         	2011-02-18 20:41:06 	The task SERVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "SERVER"}
60089     	I   	Operational         	10125   	Program stopped                         	2011-02-18 20:41:06 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB1"}
60090     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 20:41:33 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60091     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 20:41:34 	The system is in the Motors ON state.	{args: }
60092     	I   	Operational         	10012   	Safety guard stop state                 	2011-02-18 20:41:52 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
60093     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:42:31 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
60094     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:42:31 	The program pointer of task LOGGER has been reset.	{args: "2", "0", "LOGGER"}
60095     	I   	Operational         	10002   	Program pointer has been reset          	2011-02-18 20:42:31 	The program pointer of task SERVER has been reset.	{args: "3", "0", "SERVER"}
60096     	I   	Operational         	10010   	Motors OFF state                        	2011-02-18 20:42:36 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
60097     	I   	Operational         	10011   	Motors ON state                         	2011-02-18 20:42:37 	The system is in the Motors ON state.	{args: }
